No.,日付,時間,投稿文,ハッシュタグ,画像プロンプト(英語),投稿タイプ,備考
1,4/2(木),07:30,"まだ目が半分しか開いてないのに駅にいる…笑
今日もなんとか家出れた自分えらい。
ホームで缶コーヒー1本。
これがあるから朝やれるんだよね☕

#朝の日常 #OL #平日 #駅 #缶コーヒー",#朝の日常 #OL #平日 #駅 #缶コーヒー,,日常系,平日朝の出勤前のルーティン。淡々とした「今日も行くか」感と、小さなご褒美（缶コーヒー）で朝の気持ちを表現
2,4/2(木),12:30,"昼休みなのに午後のプレゼンのこと考えてる時点で負けてる…笑
コンビニのからあげクン、今日だけは許して？
この小さな幸せで午後もなんとか乗り切るから🍗

#OLあるある #昼休み #平日 #お疲れモード",#OLあるある #昼休み #平日 #お疲れモード,,日常系,平日昼12:30のランチ休憩で、午後の仕事を前にした緊張感とコンビニ食の小さな幸せを組み合わせた日常投稿
3,4/2(木),22:00,"仕事終わりのカウンター席がいちばん落ち着くの、わたしだけ？
枝豆とハイボールだけでもう優勝なんだけど笑
ひとり飲みって寂しいんじゃなくて、ご褒美だよね///

#ひとり飲み #仕事終わり",#ひとり飲み #仕事終わり,,日常系,カウンター席の腕・グラス・おつまみで雰囲気出す
4,4/3(金),07:30,"金曜の朝って関係なく眠いの何なの…笑
駅のホームでぼーっと電車待ちながら、あと1日だけって自分に言い聞かせてる。
今日乗り切ったらご褒美していい？
…いいよね？///

#平日 #朝 #OL #今日も頑張る",#平日 #朝 #OL #今日も頑張る,,日常系,平日朝の出勤前・駅待ちのシーンで、やや眠い・淡々とした「今日も行くか」感を表現。金曜という曜日の気楽さも含めた。
5,4/3(金),12:30,"4月のオフィスってなんか落ち着かない。
周りがバタバタしてる中、ひとりで黙々と仕事してる時間が実は好き。
…こういうの地味に落ち着くの、わかる人いる？

#4月 #OLの日常",#4月 #OLの日常,,日常系,職場の背景ショット。後ろ姿で雰囲気を出す
6,4/3(金),22:00,"残業終わりの帰り道、桜がひらひら散ってた。
散り際ってなんでこんなきれいなんだろ…
思わず足止めてしみじみしちゃった。
金曜だし、ご褒美にひとり飲みして帰ろ🍺
明日は休み！
今日のわたしおつかれ〜

#金曜夜 #帰り道 #桜 #ひとり飲み #仕事終わり",#金曜夜 #帰り道 #桜 #ひとり飲み #仕事終わり,"selfie-style photo of a 23-year-old Japanese woman standing on a small pedestrian bridge at night, slight downward angle, cherry blossom petals falling around her under warm streetlights, she wears a lavender cardigan over a cream blouse, tired but gentle smile, city lights reflecting on the river behind her, spring night atmosphere, photorealistic hyperdetailed ultra realistic",日常系,残業明けの帰路〜帰宅後のゆるい時間帯に合わせた。ひとり飲みや終業感を追加し、21時台の自然な日常シーンに調整。
7,4/4(土),07:30,"休日の朝、布団から出られないの最高すぎない？
ごろごろしながらコーヒー片手に朝テレ…
この時間がいちばん贅沢だって気づいちゃった///
誰にも会わない朝って、なんでこんな幸せなんだろ笑

#休日 #OLあるある #朝 #ゆったり",#休日 #OLあるある #朝 #ゆったり,,日常系,休日の朝ののんびりした時間帯を活かした等身大の日常投稿。甘えたさと心地よさを照れで表現。
8,4/4(土),12:30,"休日のコンビニって誘惑強すぎない？
新作スイーツ目が合った瞬間カゴにいた笑
ひとりで食べるこの背徳感がたまんないんだよね///

#コンビニ #今日のご褒美",#コンビニ #今日のご褒美,,日常系,コンビニスイーツの手元ショット。明るい店内の光
9,4/4(土),22:00,"お風呂上がりの部屋着でごろごろしてる土曜の夜が一番好き。
明日も休みとか最高すぎない？
なんにもしない贅沢よ…
こういう時間誰かと共有したくなるのはナイショね///

#土曜夜 #部屋着 #ごろごろ時間 #連休最高",#土曜夜 #部屋着 #ごろごろ時間 #連休最高,"selfie-style photo of a 23-year-old Japanese woman lying on her stomach on a white bed after a bath, slight downward angle, damp hair loosely tied, wearing an oversized soft pink sweatshirt and comfortable shorts, warm bedside lamp lighting, cozy weekend night atmosphere, relaxed lazy expression, photorealistic hyperdetailed ultra realistic",日常系,休日夜22:00のリアルな心情を、等身大の日常として描写。明日への不安と現在の心地よさのバランスを照れで軽く締めた
10,4/5(日),07:30,"休日の朝からひとりで定食屋さん来ちゃった。
鯖の塩焼きと白米って、なんでこんな沁みるの…？
誰かが作ってくれたご飯ってだけで泣きそうになる日曜///

#ひとりご飯 #定食",#ひとりご飯 #定食,,日常系,定食屋の手元・食事ショット。温かみのある照明
11,4/5(日),12:30,"日曜のお昼なのに頭の中もうGWのことしかない笑
何もしてないのに「あと何日…」って指折り数えちゃってる自分よ？
早くこいー！

#日曜日 #GW前 #まったり",#日曜日 #GW前 #まったり,,日常系,オフィスでのぐったり後ろ姿。GW前の中だるみ感
12,4/5(日),22:00,"休日、一歩も外出ないまま終わったけど…
なんかこれが一番充電できる気がする。
すっぴんに部屋着のまま、腕まくりでごろごろ。
誰にも見せない素のまき、ちょっとだけ見せちゃお///

#休日 #ゆるゆる",#休日 #ゆるゆる,"selfie-style photo of a 23-year-old Japanese woman sitting on the wooden floor of her small apartment, slight downward angle, no makeup natural face, wearing an oversized ivory knit sweater with sleeves rolled up, legs tucked to the side, soft warm room lighting, lazy Sunday night at home, photorealistic hyperdetailed ultra realistic",日常系,休日のんびりシーン。腕と部屋の雰囲気で素の感じを出す
13,4/6(月),07:30,"ホームで電車待ちしながら、ふと空見上げたら綺麗すぎて。
4月の朝ってなんか澄んでて好きなんだよね///
月曜だけど、ちょっとだけ頑張れそうな気がした。

#月曜日 #朝 #通勤",#月曜日 #朝 #通勤,,日常系,5月の朝・ホームの横顔シルエット。空の色を活かす
14,4/6(月),12:30,"月曜のデスク飯、なんか落ち着くの私だけ？
こっそり食べてる背徳感がいい笑
午後の会議までにチャージしなきゃ…
がんばれ今週のわたし🍙

#平日ランチ #OLあるある #月曜日 #デスク飯",#平日ランチ #OLあるある #月曜日 #デスク飯,,日常系,昼12:30の休憩時間設定。デスク飯の落ち着きとちょっとした後ろめたさで、まきのキャラが出ている日常系。
15,4/6(月),22:00,"お風呂上がりの鏡、目が完全に死んでた笑
でもなんか湯気と一緒に一週間の疲れ全部流れた気がする。
背中だけ撮ったけど…載せていい？

がんばった自分、おつかれ。

#金曜日 #お風呂上がり",#金曜日 #お風呂上がり,"selfie-style photo of a 23-year-old Japanese woman in a steamy bathroom mirror, slight downward angle, hair wrapped in a towel, bare shoulders visible with a bath towel wrapped around her body, foggy mirror with soft warm lighting, tired but refreshed expression after a long Monday, photorealistic hyperdetailed ultra realistic",日常系,金曜夜のお風呂上がり。背中と蒸気で疲れ感を演出
